,0,1,2
326,146@1778,"[[509, 1], [1522, 1]]",3.0
327,30@4174,"[[736, 1], [1567, 1], [2046, 1]]",3.0
328,60@223,"[[777, 1]]",4.0
329,32@3047,"[[689, 1], [1874, 1], [1213, 1]]",5.0
330,18@1878,"[[2024, 1], [689, 1], [1692, 1], [1418, 1], [268, 1], [1692, 1]]",4.0
331,105@3790,"[[777, 1], [1078, 1], [1986, 1]]",3.0
332,75@2353,"[[1873, 1]]",4.0
333,88@1618,"[[152, 1], [1234, 1], [1397, 1], [1952, 1], [642, 1], [385, 1], [1725, 1], [605, 1], [731, 1], [731, 1]]",4.0
334,28@623,"[[689, 1], [186, 1], [1126, 1], [731, 1]]",3.0
335,118@2781,"[[1674, 1], [581, 1], [1567, 1], [596, 1], [115, 1]]",2.0
336,10@3019,"[[1632, 1]]",4.0
337,31@4643,"[[605, 1], [705, 1], [605, 1]]",4.0
338,8@1511,"[[992, 1], [592, 1]]",2.0
339,2@1784,"[[1213, 1], [31, 1], [445, 1], [736, 1], [709, 1]]",3.0
340,99@939,"[[1023, 1], [249, 1]]",3.0
341,83@4918,"[[1874, 1], [1213, 1]]",5.0
342,100@1653,"[[1294, 1], [1567, 1], [1213, 1]]",3.0
343,15@421,"[[1327, 1], [294, 1], [1479, 1], [1986, 1], [182, 1]]",3.0
344,115@2757,"[[1273, 1]]",4.0
345,89@521,"[[1479, 1]]",5.0
346,44@2688,"[[1372, 1], [268, 1], [545, 1], [565, 1]]",4.0
347,106@2645,"[[1714, 1], [1963, 1]]",4.0
348,128@1081,"[[2079, 1], [1874, 1]]",5.0
349,40@2744,"[[694, 1], [1104, 1]]",4.0
350,10@2214,"[[355, 1]]",3.0
351,20@4439,"[[581, 1], [1479, 1], [559, 1], [596, 1], [1243, 1]]",4.0
352,1@5127,"[[146, 1], [186, 1]]",3.0
353,144@3830,"[[1956, 1]]",5.0
354,147@3800,"[[1714, 1], [891, 1], [1423, 1], [2073, 1], [1096, 1], [738, 1]]",5.0
355,56@3730,"[[1044, 1], [1303, 1], [1874, 1]]",4.5
356,128@5132,"[[77, 1], [1155, 1], [1155, 1]]",4.0
357,0@3137,"[[136, 1]]",4.0
358,94@1284,"[[1213, 1], [1650, 1], [186, 1], [1213, 1]]",4.0
359,78@2639,"[[605, 1]]",5.0
360,92@4647,"[[941, 1], [268, 1], [11, 1]]",4.0
361,92@3514,"[[596, 1]]",3.0
362,39@2076,"[[1869, 1], [268, 1], [1369, 1], [1928, 1]]",3.0
363,14@1035,"[[268, 1], [1874, 1]]",5.0
364,19@1800,"[[1176, 1], [1874, 1]]",4.0
365,88@1752,"[[941, 1], [202, 1], [249, 1], [1946, 1]]",4.0
366,15@515,"[[268, 1]]",2.0
367,134@513,"[[1368, 1], [1425, 1]]",5.0
368,42@3049,"[[1669, 1], [1913, 1], [586, 1]]",4.0
369,3@2159,"[[1708, 1], [1267, 1]]",4.0
370,72@187,"[[776, 1], [705, 1], [1931, 1]]",4.0
371,76@502,"[[635, 1], [1815, 1]]",4.0
372,93@4542,"[[581, 1], [268, 1], [186, 1], [1213, 1]]",2.0
373,10@3966,"[[941, 1]]",3.0
374,29@1517,"[[243, 1]]",3.0
375,70@89,"[[941, 1]]",4.0
376,151@3092,"[[1145, 1], [268, 1], [161, 1], [1441, 1], [324, 1]]",4.0
377,132@5084,"[[186, 1]]",3.0
378,118@3753,"[[1423, 1]]",1.0
379,92@2477,"[[792, 1], [1068, 1]]",4.0
380,100@5254,"[[69, 1]]",2.0
381,101@1473,"[[1224, 1], [142, 1], [1126, 1]]",5.0
382,100@4306,"[[694, 1], [1023, 1]]",3.0
383,142@3855,"[[835, 1], [2052, 1], [565, 1]]",5.0
384,88@4389,"[[1093, 1]]",2.0
385,109@5067,"[[551, 1], [35, 1], [998, 1], [246, 1]]",5.0
386,18@4784,"[[1310, 1], [1046, 1], [516, 1], [1859, 1], [1243, 1]]",3.0
387,137@507,"[[1375, 1]]",3.0
388,31@3118,"[[1418, 1], [1889, 1], [546, 1], [1273, 1]]",5.0
389,112@1982,"[[1632, 1], [2071, 1], [445, 1], [969, 1]]",5.0
390,61@2995,"[[1213, 1]]",3.0
